Open,High,Low,Close,Volume
12153.150391,12224.049805,12132.549805,12215.900391,477500.0
12271.0,12311.200195,12213.200195,12256.799805,660600.0
12296.700195,12337.75,12285.799805,12329.549805,501000.0
12333.099609,12374.25,12308.700195,12362.299805,616300.0
12349.400391,12355.150391,12278.75,12343.299805,684400.0
12347.099609,12389.049805,12315.799805,12355.5,395700.0
12328.400391,12385.450195,12321.400391,12352.349609,502100.0
12430.5,12430.5,12216.900391,12224.549805,491600.0
12195.299805,12230.049805,12162.299805,12169.849609,400.0
12218.349609,12225.049805,12087.900391,12106.900391,500.0
12123.75,12189.0,12094.099609,12180.349609,867700.0
12174.549805,12272.150391,12149.650391,12248.25,593200.0
12197.099609,12216.599609,12107.0,12119.0,441200.0
12148.099609,12163.549805,12024.5,12055.799805,478500.0
12114.900391,12169.599609,12103.799805,12129.5,514400.0
